"","Vendedor","Data","Distância total percorrida (Em km)"
"1","A001","2021-09-07",46.18
"2","A002","2021-09-07",9.74
"3","A003","2021-09-07",9.26
"4","A005","2021-09-07",0.68
"5","A007","2021-09-07",17.53
"6","A008","2021-09-07",16.03
"7","A009","2021-09-07",3.07
"8","A010","2021-09-07",2.41
"9","A011","2021-09-07",14.76
"10","A012","2021-09-07",22.5
"11","A013","2021-09-07",36.1
"12","A014","2021-09-07",18.67
"13","A015","2021-09-07",3.53
"14","A016","2021-09-07",6.15
"15","A017","2021-09-07",6.69
"16","A018","2021-09-07",14.98
"17","A019","2021-09-07",28.4
"18","A020","2021-09-07",1.98
"19","A021","2021-09-07",7.75
"20","A036","2021-09-07",7.04
"21","A037","2021-09-07",10.63
"22","A038","2021-09-07",5.71
"23","A039","2021-09-07",29.45
"24","A041","2021-09-07",11.82
"25","A042","2021-09-07",4.29
"26","A043","2021-09-07",3.31
"27","A044","2021-09-07",4.83
"28","A046","2021-09-07",19.01
"29","A047","2021-09-07",3.78
"30","A048","2021-09-07",5.39
"31","A049","2021-09-07",18.04
"32","A051","2021-09-07",28.53
"33","A053","2021-09-07",0
"34","A054","2021-09-07",10.44
"35","A056","2021-09-07",0
"36","A057","2021-09-07",12.58
"37","A059","2021-09-07",8.99
"38","A060","2021-09-07",9.69
"39","A061","2021-09-07",25.84
"40","A062","2021-09-07",10.15
"41","A063","2021-09-07",6.49
"42","A064","2021-09-07",24.69
"43","A065","2021-09-07",31.16
"44","A066","2021-09-07",25.45
"45","A067","2021-09-07",7.84
"46","A068","2021-09-07",22.39
"47","A069","2021-09-07",7.47
"48","A070","2021-09-07",91.38
"49","A071","2021-09-07",10.94
"50","A073","2021-09-07",33.42
"51","A074","2021-09-07",8.45
"52","A075","2021-09-07",99.64
"53","A076","2021-09-07",0
"54","A077","2021-09-07",2.65
"55","A078","2021-09-07",8.73
"56","A079","2021-09-07",3.39
"57","A080","2021-09-07",9.99
"58","A081","2021-09-07",13.62
"59","A082","2021-09-07",69.95
"60","A083","2021-09-07",37.1
"61","A084","2021-09-07",19.47
"62","A095","2021-09-07",0
"63","A098","2021-09-07",0
"64","A099","2021-09-07",0
"65","A170","2021-09-07",3.75
"66","A190","2021-09-07",20.79
"67","A192","2021-09-07",7.27
"68","A193","2021-09-07",45.56
"69","A194","2021-09-07",25.48
"70","A195","2021-09-07",3.79
"71","A196","2021-09-07",28.85
"72","A209","2021-09-07",6.09
"73","A225","2021-09-07",0
"74","A227","2021-09-07",10.06
"75","A230","2021-09-07",2.35
"76","A233","2021-09-07",0
"77","A235","2021-09-07",8.15
"78","A243","2021-09-07",2.58
"79","A244","2021-09-07",4.02
"80","A252","2021-09-07",0
